train/n_updates,train/learning_rate,time/fps,rollout/ep_rew_mean,train/actor_loss,rollout/ep_len_mean,train/critic_loss,time/total_timesteps,time/episodes,time/time_elapsed,eval/mean_reward,eval/mean_ep_length
974,0.0001,308,-4193.88431375,3698.456298828125,1000.0,426967.75,4000,4,12,,
1974,0.0001,397,-5403.16592125,3761.7705078125,1000.0,14737.2353515625,8000,8,20,,
2474,0.0001,,,3330.509765625,,617749.75,10000,,,-152506231.311244,1000.0
2974,0.0001,393,-5031.132270166666,3129.372314453125,1000.0,13654.48046875,12000,12,30,,
3974,0.0001,425,-4794.46887225,3187.253173828125,1000.0,352354.8125,16000,16,37,,
4974,0.0001,,,2902.30078125,,322411.59375,20000,,,-152506231.311244,1000.0
,,417,-4573.6748322,,1000.0,,20000,20,47,,
5974,0.0001,436,-4668.827536416667,2722.052490234375,1000.0,6483.044921875,24000,24,55,,
6974,0.0001,450,-4960.931751285714,2929.699951171875,1000.0,28615.41796875,28000,28,62,,
7474,0.0001,,,3134.16748046875,,3700.975830078125,30000,,,-152506231.311244,1000.0
7974,0.0001,441,-4912.81649984375,2852.056884765625,1000.0,12940.5849609375,32000,32,72,,
8974,0.0001,452,-5059.202547916666,2868.28466796875,1000.0,12604.5546875,36000,36,79,,
9974,0.0001,,,2967.365478515625,,137875.96875,40000,,,-152506231.311244,1000.0
,,445,-4862.082232399999,,1000.0,,40000,40,89,,
10974,0.0001,453,-4778.141392568181,2794.3740234375,1000.0,85056.8984375,44000,44,97,,
11974,0.0001,460,-4920.768810166666,2788.464111328125,1000.0,4696.4716796875,48000,48,104,,
12474,0.0001,,,2551.261962890625,,87817.421875,50000,,,-152506231.311244,1000.0
12974,0.0001,454,-4955.219592134615,2850.20166015625,1000.0,473936.0625,52000,52,114,,
13974,0.0001,460,-4777.48854625,2665.30078125,1000.0,1583634.25,56000,56,121,,
14974,0.0001,,,2687.3369140625,,7624.72802734375,60000,,,-152506231.311244,1000.0
,,455,-4720.152565533333,,1000.0,,60000,60,131,,
15974,0.0001,460,-4748.2023239531245,2665.73291015625,1000.0,4243.6630859375,64000,64,138,,
16974,0.0001,465,-4729.3837778529405,2502.2587890625,1000.0,890933.3125,68000,68,146,,
17474,0.0001,,,2911.9794921875,,49514.296875,70000,,,-152506231.311244,1000.0
17974,0.0001,460,-4825.643315263889,2666.50390625,1000.0,16001.0673828125,72000,72,156,,
18974,0.0001,464,-4839.190448407895,2839.9970703125,1000.0,6625.326171875,76000,76,163,,
19974,0.0001,,,2883.3359375,,21941.521484375,80000,,,-152506231.311244,1000.0
,,460,-4794.243405137499,,1000.0,,80000,80,173,,
20974,0.0001,463,-4707.557252214285,2593.812744140625,1000.0,2980.24658203125,84000,84,181,,
21974,0.0001,467,-4777.164233840909,2705.90576171875,1000.0,467425.375,88000,88,188,,
22474,0.0001,,,2803.6953125,,1383280.75,90000,,,-152506231.311244,1000.0
22974,0.0001,463,-4739.4210735869565,2720.8408203125,1000.0,26326.958984375,92000,92,198,,
23974,0.0001,466,-4738.20754378125,2803.213134765625,1000.0,8677.275390625,96000,96,205,,
24974,0.0001,,,2856.67724609375,,168054.71875,100000,,,-152506231.311244,1000.0
,,463,-4757.13521521,,1000.0,,100000,100,215,,
25974,0.0001,466,-4742.55853121,2895.27880859375,1000.0,20096.32421875,104000,104,223,,
26974,0.0001,469,-4633.831622330001,2656.28076171875,1000.0,2737.59423828125,108000,108,230,,
27474,0.0001,,,2974.6240234375,,5423.2353515625,110000,,,-152506231.311244,1000.0
27974,0.0001,465,-4653.718617670002,2787.609130859375,1000.0,5880.40771484375,112000,112,240,,
28974,0.0001,468,-4676.301513,2693.955078125,1000.0,8506.2060546875,116000,116,247,,
29974,0.0001,,,2695.103515625,,7173.4599609375,120000,,,-152506231.311244,1000.0
,,465,-4754.81268737,,1000.0,,120000,120,258,,
30974,0.0001,467,-4700.03217607,2848.87548828125,1000.0,5242.82763671875,124000,124,265,,
31974,0.0001,469,-4562.2316310900005,2692.577880859375,1000.0,17670.41015625,128000,128,272,,
32474,0.0001,,,2838.75,,2598.9228515625,130000,,,-152506231.311244,1000.0
32974,0.0001,467,-4562.31571649,2520.1435546875,1000.0,11455.17578125,132000,132,282,,
33974,0.0001,469,-4482.20298966,3029.834228515625,1000.0,4668.6171875,136000,136,289,,
34974,0.0001,,,2620.50732421875,,5404.1357421875,140000,,,-152506231.311244,1000.0
,,466,-4555.75627337,,1000.0,,140000,140,300,,
35974,0.0001,468,-4538.16145893,2481.02783203125,1000.0,89184.46875,144000,144,307,,
36974,0.0001,470,-4451.02914705,2666.8818359375,1000.0,4138.86328125,148000,148,314,,
37474,0.0001,,,2708.887451171875,,2586.65771484375,150000,,,-152506231.311244,1000.0
37974,0.0001,468,-4419.453091300001,2659.0986328125,1000.0,69085.421875,152000,152,324,,
38974,0.0001,470,-4523.93600144,2822.09912109375,1000.0,5688.28955078125,156000,156,331,,
39974,0.0001,,,2747.031494140625,,22649.408203125,160000,,,-152506231.311244,1000.0
,,467,-4557.49479735,,1000.0,,160000,160,342,,
40974,0.0001,469,-4588.17110413,2797.13037109375,1000.0,306106.5625,164000,164,349,,
41974,0.0001,471,-4542.84721871,2652.84326171875,1000.0,5299.53515625,168000,168,356,,
42474,0.0001,,,2855.16650390625,,222422.25,170000,,,-152506231.311244,1000.0
42974,0.0001,468,-4475.674549920001,2755.101806640625,1000.0,28433.990234375,172000,172,366,,
43974,0.0001,470,-4499.52250787,2665.044921875,1000.0,167033.5625,176000,176,374,,
44974,0.0001,,,2828.1708984375,,3952.566162109375,180000,,,-152506231.311244,1000.0
,,468,-4538.1011523,,1000.0,,180000,180,384,,
45974,0.0001,469,-4571.68244712,2700.06982421875,1000.0,131677.046875,184000,184,391,,
46974,0.0001,471,-4494.1158103200005,2460.009765625,1000.0,6115.1201171875,188000,188,398,,
47474,0.0001,,,2720.5361328125,,11388.50390625,190000,,,-152506231.311244,1000.0
47974,0.0001,469,-4516.9343379,2758.9677734375,1000.0,12362.482421875,192000,192,409,,
48974,0.0001,470,-4566.36691189,2574.25830078125,1000.0,25343.30859375,196000,196,416,,
49974,0.0001,,,2686.43505859375,,14547.267578125,200000,,,-152506231.311244,1000.0
,,468,-4509.90354972,,1000.0,,200000,200,426,,
50974,0.0001,470,-4510.669138870001,2681.68798828125,1000.0,188798.0625,204000,204,433,,
51974,0.0001,471,-4521.714562730001,2651.03515625,1000.0,187339.6875,208000,208,440,,
52474,0.0001,,,2646.638671875,,5076.1123046875,210000,,,-152506231.311244,1000.0
52974,0.0001,469,-4548.543067740001,2770.8896484375,1000.0,11187.3388671875,212000,212,451,,
53974,0.0001,471,-4549.7341521,2702.4423828125,1000.0,2566.83203125,216000,216,458,,
54974,0.0001,,,2733.156005859375,,7301.7578125,220000,,,-152506231.311244,1000.0
,,469,-4545.832852449999,,1000.0,,220000,220,468,,
55974,0.0001,470,-4624.82536022,2717.4208984375,1000.0,2004.800537109375,224000,224,475,,
56974,0.0001,471,-4636.310155210001,2746.02392578125,1000.0,3104.02880859375,228000,228,483,,
57474,0.0001,,,2934.7890625,,2253.2060546875,230000,,,-152506231.311244,1000.0
57974,0.0001,470,-4595.401984120001,2887.2783203125,1000.0,47021.78125,232000,232,493,,
58974,0.0001,471,-4653.5570287400005,2760.39453125,1000.0,1200.495849609375,236000,236,500,,
59974,0.0001,,,2764.09326171875,,35314.90234375,240000,,,-152506231.311244,1000.0
,,469,-4704.80597761,,1000.0,,240000,240,510,,
60974,0.0001,470,-4766.90904475,2744.59765625,1000.0,2855.29833984375,244000,244,518,,
61974,0.0001,472,-4802.460256870001,2864.13720703125,1000.0,3817.962890625,248000,248,525,,
62474,0.0001,,,2839.38671875,,22893.60546875,250000,,,-152506231.311244,1000.0
62974,0.0001,470,-4787.089605640001,2604.87109375,1000.0,22153.6796875,252000,252,535,,
63974,0.0001,471,-4759.20356294,2605.3876953125,1000.0,4170.53173828125,256000,256,542,,
64974,0.0001,,,2871.81884765625,,5914.515625,260000,,,-152506231.311244,1000.0
,,470,-4756.1436894,,1000.0,,260000,260,553,,
65974,0.0001,471,-4716.35976922,2777.29248046875,1000.0,3897.0341796875,264000,264,560,,
66974,0.0001,472,-4819.951287509999,2893.049072265625,1000.0,4011.926513671875,268000,268,567,,
67474,0.0001,,,2719.820068359375,,81057.734375,270000,,,-152506231.311244,1000.0
67974,0.0001,470,-4767.207538879999,2962.812744140625,1000.0,3224.939453125,272000,272,577,,
68974,0.0001,471,-4696.827317170001,2908.55322265625,1000.0,1798.9189453125,276000,276,585,,
69974,0.0001,,,2648.93798828125,,8915.5234375,280000,,,-152506231.311244,1000.0
,,470,-4715.341447719999,,1000.0,,280000,280,595,,
70974,0.0001,471,-4705.46465134,2775.19384765625,1000.0,4834.025390625,284000,284,602,,
71974,0.0001,472,-4727.651322510001,2815.220458984375,1000.0,3396.658935546875,288000,288,609,,
72474,0.0001,,,2712.608642578125,,2614.601806640625,290000,,,-152506231.311244,1000.0
72974,0.0001,470,-4817.904618269999,2761.73046875,1000.0,8246.83203125,292000,292,620,,
73974,0.0001,471,-4823.42403575,2691.949951171875,1000.0,32421.29296875,296000,296,627,,
74974,0.0001,,,2632.55029296875,,122720.625,300000,,,-152506231.311244,1000.0
,,470,-4826.41197305,,1000.0,,300000,300,637,,
75974,0.0001,471,-4881.75647315,2882.2255859375,1000.0,50161.1484375,304000,304,644,,
76974,0.0001,472,-4900.0003239,2724.45263671875,1000.0,6562.73681640625,308000,308,652,,
77474,0.0001,,,2670.3427734375,,11369.955078125,310000,,,-152506231.311244,1000.0
77974,0.0001,470,-4866.95963175,2590.2080078125,1000.0,7726.75,312000,312,662,,
78974,0.0001,471,-4865.285551559999,2699.1728515625,1000.0,5503.95166015625,316000,316,669,,
79974,0.0001,,,2711.406982421875,,7451.400390625,320000,,,-152506231.311244,1000.0
,,470,-4816.41600948,,1000.0,,320000,320,679,,
80974,0.0001,471,-4847.6348699499995,2746.400634765625,1000.0,34034.54296875,324000,324,687,,
81974,0.0001,472,-4906.371592740001,2702.826171875,1000.0,5249.33837890625,328000,328,694,,
82474,0.0001,,,2655.740234375,,7482.30029296875,330000,,,-152506231.311244,1000.0
82974,0.0001,471,-4968.655656060001,2785.667724609375,1000.0,27159.0625,332000,332,704,,
83974,0.0001,471,-4908.69929303,2789.4267578125,1000.0,2824.75048828125,336000,336,712,,
84974,0.0001,,,2704.63134765625,,3476.2392578125,340000,,,-152506231.311244,1000.0
,,470,-4797.081932229999,,1000.0,,340000,340,722,,
85974,0.0001,471,-4806.95500142,2632.8935546875,1000.0,1138.6824951171875,344000,344,729,,
86974,0.0001,472,-4753.85854392,2792.194580078125,1000.0,16027.76953125,348000,348,736,,
87474,0.0001,,,2655.35791015625,,24525.07421875,350000,,,-152506231.311244,1000.0
87974,0.0001,471,-4835.08807646,2625.17822265625,1000.0,1720.04150390625,352000,352,747,,
88974,0.0001,471,-4877.185448849999,2651.32763671875,1000.0,43789.265625,356000,356,754,,
89974,0.0001,,,2678.273193359375,,10542.583984375,360000,,,-152506231.311244,1000.0
,,470,-4911.0020749899995,,1000.0,,360000,360,764,,
90974,0.0001,471,-4902.2541317800005,2682.48681640625,1000.0,1194.6451416015625,364000,364,772,,
91974,0.0001,472,-4799.39393043,2768.084716796875,1000.0,2206.216552734375,368000,368,779,,
92474,0.0001,,,2699.47607421875,,7402.2138671875,370000,,,-152506231.311244,1000.0
92974,0.0001,471,-4777.95756094,2596.9404296875,1000.0,2633.41259765625,372000,372,789,,
93974,0.0001,471,-4786.68752921,2690.487548828125,1000.0,5988.14453125,376000,376,796,,
94974,0.0001,,,2683.04736328125,,44255.4453125,380000,,,-152506231.311244,1000.0
,,470,-4750.351961019999,,1000.0,,380000,380,807,,
95974,0.0001,471,-4762.73720929,2589.52197265625,1000.0,45394.58203125,384000,384,814,,
96974,0.0001,472,-4754.58974895,2762.09375,1000.0,12789.556640625,388000,388,821,,
97474,0.0001,,,2740.255615234375,,1434.8101806640625,390000,,,-152506231.311244,1000.0
97974,0.0001,471,-4728.974750619999,2688.755126953125,1000.0,1871.28271484375,392000,392,832,,
98974,0.0001,471,-4704.5377603,2776.6748046875,1000.0,2548.15185546875,396000,396,839,,
99974,0.0001,,,2682.970458984375,,2050.64501953125,400000,,,-152506231.311244,1000.0
,,470,-4674.02789034,,1000.0,,400000,400,849,,
100974,0.0001,471,-4648.789829560001,2592.8779296875,1000.0,26076.97265625,404000,404,856,,
101974,0.0001,472,-4646.8306071,2871.5966796875,1000.0,8068.44677734375,408000,408,864,,
102474,0.0001,,,2663.692626953125,,1483.62060546875,410000,,,-152506231.311244,1000.0
102974,0.0001,471,-4587.94524718,2683.64892578125,1000.0,1245.1016845703125,412000,412,874,,
103974,0.0001,471,-4677.567884149999,2684.668212890625,1000.0,4577.41455078125,416000,416,881,,
104974,0.0001,,,2585.0869140625,,2131.1904296875,420000,,,-152506231.311244,1000.0
,,470,-4685.86260687,,1000.0,,420000,420,891,,
105974,0.0001,471,-4599.16379151,2727.840576171875,1000.0,807.1888427734375,424000,424,899,,
106974,0.0001,472,-4644.21151937,2812.511962890625,1000.0,6504.923828125,428000,428,906,,
107474,0.0001,,,2645.2744140625,,850.8109130859375,430000,,,-152506231.311244,1000.0
107974,0.0001,471,-4654.24282004,2662.488037109375,1000.0,12974.3212890625,432000,432,916,,
108974,0.0001,471,-4747.05103079,2765.997314453125,1000.0,1476.4423828125,436000,436,924,,
109974,0.0001,,,2725.946044921875,,2068.992431640625,440000,,,-152506231.311244,1000.0
,,470,-4767.607118939999,,1000.0,,440000,440,934,,
110974,0.0001,471,-4762.690607549999,2678.8134765625,1000.0,4524.41259765625,444000,444,941,,
111974,0.0001,472,-4812.73687575,2719.778564453125,1000.0,2836.470703125,448000,448,948,,
112474,0.0001,,,2606.979248046875,,1315.73486328125,450000,,,-152506231.311244,1000.0
112974,0.0001,471,-4814.654954279999,2606.541748046875,1000.0,498.792236328125,452000,452,959,,
113974,0.0001,471,-4723.11800696,2562.497802734375,1000.0,14302.021484375,456000,456,966,,
114974,0.0001,,,2599.997802734375,,5004.884765625,460000,,,-152506231.311244,1000.0
,,470,-4718.014157169999,,1000.0,,460000,460,976,,
115974,0.0001,471,-4699.74285128,2589.368408203125,1000.0,1909.7724609375,464000,464,983,,
116974,0.0001,472,-4745.647124429999,2548.5849609375,1000.0,54115.8671875,468000,468,991,,
117474,0.0001,,,2694.0927734375,,1504.50390625,470000,,,-152506231.311244,1000.0
117974,0.0001,471,-4840.81365792,2604.41796875,1000.0,2028.3585205078125,472000,472,1001,,
118974,0.0001,471,-4874.20779084,2595.30615234375,1000.0,2018.0086669921875,476000,476,1008,,
119974,0.0001,,,2729.92529296875,,830.127685546875,480000,,,-152506231.311244,1000.0
,,471,-4872.38041103,,1000.0,,480000,480,1019,,
120974,0.0001,471,-4907.36746026,2756.13818359375,1000.0,11627.6220703125,484000,484,1026,,
121974,0.0001,472,-4904.259154019999,2823.40673828125,1000.0,4215.3984375,488000,488,1033,,
122474,0.0001,,,2728.647216796875,,2041.787109375,490000,,,-152506231.311244,1000.0
122974,0.0001,471,-4826.65658452,2613.15478515625,1000.0,1012.4007568359375,492000,492,1043,,
123974,0.0001,471,-4781.81533804,2625.03662109375,1000.0,866.8659057617188,496000,496,1051,,
124974,0.0001,,,2591.7705078125,,3049.63232421875,500000,,,-152506231.311244,1000.0
,,471,-4881.1844365,,1000.0,,500000,500,1061,,
125974,0.0001,471,-4912.480471399999,2557.37158203125,1000.0,31126.44921875,504000,504,1068,,
126974,0.0001,472,-4856.379179789999,2646.794677734375,1000.0,4970.6337890625,508000,508,1075,,
